"SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1/"
"(dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2016","2017","2018","2019","2020"
"16000","Idaho","18","      Recreation services",1056,1108,1154,1184,809
"16000","Idaho","19","      Food services and accommodations",2076,2145,2271,2374,2141
"16000","Idaho","20","      Financial services and insurance",2468,2698,2929,2937,2941
"16000","Idaho","21","      Other services",1952,2035,2152,2260,2162
"17000","Illinois","1","Per capita personal consumption expenditures",40446,41927,43975,45338,43981
"17000","Illinois","4","      Motor vehicles and parts",1405,1421,1457,1438,1479
"17000","Illinois","5","      Furnishings and durable household equipment",936,974,1019,1066,1162
"17000","Illinois","6","      Recreational goods and vehicles",1115,1201,1247,1380,1595
"17000","Illinois","7","      Other durable goods",664,669,686,707,690
"17000","Illinois","9","      Food and beverages purchased for off-premises consumption",2654,2755,2840,2955,3277
"17000","Illinois","10","      Clothing and footwear",1284,1270,1312,1321,1218
"17000","Illinois","11","      Gasoline and other energy goods",719,821,977,897,659
"17000","Illinois","12","      Other nondurable goods",3269,3432,3559,3782,4090
"17000","Illinois","15","      Housing and utilities",6926,7124,7421,7570,7755
"17000","Illinois","16","      Health care",6611,6769,7065,7336,6873
"17000","Illinois","17","      Transportation services",1681,1755,1846,1940,1369
"17000","Illinois","18","      Recreation services",1627,1666,1726,1771,1301
"17000","Illinois","19","      Food services and accommodations",2692,2804,2936,3073,2348
"17000","Illinois","20","      Financial services and insurance",3246,3481,3701,3781,3826
"17000","Illinois","21","      Other services",3716,3832,4038,4242,3845
"18000","Indiana","1","Per capita personal consumption expenditures",34701,36369,37888,38645,38097
"18000","Indiana","4","      Motor vehicles and parts",1457,1530,1617,1605,1729
"18000","Indiana","5","      Furnishings and durable household equipment",845,892,943,965,1069
"18000","Indiana","6","      Recreational goods and vehicles",1008,1057,1054,1095,1215
"18000","Indiana","7","      Other durable goods",553,563,570,572,559
"18000","Indiana","9","      Food and beverages purchased for off-premises consumption",2836,2936,2958,2995,3283
"18000","Indiana","10","      Clothing and footwear",975,993,1008,1012,968
"18000","Indiana","11","      Gasoline and other energy goods",1055,1187,1343,1287,904
"18000","Indiana","12","      Other nondurable goods",3208,3367,3411,3509,3758
"18000","Indiana","15","      Housing and utilities",5924,6159,6499,6508,6688
"18000","Indiana","16","      Health care",6983,7334,7590,7953,7508
"18000","Indiana","17","      Transportation services",947,984,1029,1063,904
"18000","Indiana","18","      Recreation services",1004,1035,1054,1076,790
"18000","Indiana","19","      Food services and accommodations",2271,2326,2412,2482,2154
"18000","Indiana","20","      Financial services and insurance",2127,2365,2581,2648,2651
"18000","Indiana","21","      Other services",2300,2388,2492,2580,2386
"19000","Iowa","1","Per capita personal consumption expenditures",35566,36652,37903,38562,37586
"19000","Iowa","4","      Motor vehicles and parts",1868,1938,2017,2009,2236
"19000","Iowa","5","      Furnishings and durable household equipment",850,874,910,927,1002
"19000","Iowa","6","      Recreational goods and vehicles",1019,1049,1073,1121,1255
"19000","Iowa","7","      Other durable goods",499,499,508,502,478
"19000","Iowa","9","      Food and beverages purchased for off-premises consumption",2834,2863,2875,2841,3130
"19000","Iowa","10","      Clothing and footwear",926,928,952,945,879
"19000","Iowa","11","      Gasoline and other energy goods",1303,1434,1592,1515,1107
"19000","Iowa","12","      Other nondurable goods",3133,3211,3241,3310,3514
"19000","Iowa","15","      Housing and utilities",6088,6244,6498,6734,6901
"19000","Iowa","16","      Health care",6295,6393,6517,6691,6116
"19000","Iowa","17","      Transportation services",995,1053,1098,1150,947
"19000","Iowa","18","      Recreation services",1124,1126,1173,1195,858
"19000","Iowa","19","      Food services and accommodations",2154,2199,2258,2299,1924
"19000","Iowa","20","      Financial services and insurance",2353,2578,2766,2801,2796
"19000","Iowa","21","      Other services",2670,2766,2866,2974,2712
"20000","Kansas","1","Per capita personal consumption expenditures",35631,36804,38266,39404,38845
"20000","Kansas","4","      Motor vehicles and parts",1593,1640,1710,1710,1795
"20000","Kansas","5","      Furnishings and durable household equipment",948,964,998,1007,1103
"20000","Kansas","6","      Recreational goods and vehicles",742,737,736,761,854
"20000","Kansas","7","      Other durable goods",535,531,545,548,527
"20000","Kansas","9","      Food and beverages purchased for off-premises consumption",3060,3151,3220,3305,3672
"20000","Kansas","10","      Clothing and footwear",958,949,961,947,890
"20000","Kansas","11","      Gasoline and other energy goods",926,992,1094,1043,737
"20000","Kansas","12","      Other nondurable goods",2879,2924,3010,3162,3402
"20000","Kansas","15","      Housing and utilities",6002,6246,6477,6663,6822
"20000","Kansas","16","      Health care",6343,6503,6711,7061,6707
"20000","Kansas","17","      Transportation services",1004,1039,1095,1165,932
"20000","Kansas","18","      Recreation services",1240,1218,1277,1319,1024
"20000","Kansas","19","      Food services and accommodations",2136,2197,2257,2331,2050
"20000","Kansas","20","      Financial services and insurance",2854,3130,3394,3460,3507
"20000","Kansas","21","      Other services",3403,3523,3655,3812,3471
"21000","Kentucky","1","Per capita personal consumption expenditures",33457,34601,36017,36935,36574
"21000","Kentucky","4","      Motor vehicles and parts",1437,1465,1525,1510,1599
"21000","Kentucky","5","      Furnishings and durable household equipment",772,804,859,896,992
"21000","Kentucky","6","      Recreational goods and vehicles",799,793,811,841,974
"21000","Kentucky","7","      Other durable goods",514,507,520,524,514
"21000","Kentucky","9","      Food and beverages purchased for off-premises consumption",3096,3215,3248,3263,3581
"21000","Kentucky","10","      Clothing and footwear",876,885,893,893,858
"21000","Kentucky","11","      Gasoline and other energy goods",987,1099,1236,1168,849
"21000","Kentucky","12","      Other nondurable goods",3435,3563,3663,3785,4073
"21000","Kentucky","15","      Housing and utilities",5522,5650,5907,6045,6237
"21000","Kentucky","16","      Health care",6420,6558,6720,6978,6561
"21000","Kentucky","17","      Transportation services",714,748,801,856,712
"21000","Kentucky","18","      Recreation services",1032,1100,1134,1173,936
"21000","Kentucky","19","      Food services and accommodations",2155,2213,2280,2374,2038
"21000","Kentucky","20","      Financial services and insurance",2297,2510,2761,2799,2853
"21000","Kentucky","21","      Other services",2306,2353,2468,2638,2418
"22000","Louisiana","1","Per capita personal consumption expenditures",34301,35381,36753,37894,37354
"22000","Louisiana","4","      Motor vehicles and parts",1767,1769,1818,1800,1924
"22000","Louisiana","5","      Furnishings and durable household equipment",925,983,1027,1040,1119
"22000","Louisiana","6","      Recreational goods and vehicles",705,711,736,767,854
"22000","Louisiana","7","      Other durable goods",473,467,475,477,456
"22000","Louisiana","9","      Food and beverages purchased for off-premises consumption",2811,2857,2901,2943,3241
"22000","Louisiana","10","      Clothing and footwear",1061,1052,1064,1057,993
"22000","Louisiana","11","      Gasoline and other energy goods",992,1090,1205,1150,811
"22000","Louisiana","12","      Other nondurable goods",3359,3452,3530,3663,3815
"22000","Louisiana","15","      Housing and utilities",5817,5928,6186,6412,6639
"22000","Louisiana","16","      Health care",6282,6440,6588,7001,6742
"22000","Louisiana","17","      Transportation services",814,834,866,911,737
"22000","Louisiana","18","      Recreation services",1075,1124,1158,1183,894
"22000","Louisiana","19","      Food services and accommodations",2639,2706,2820,2888,2344
"22000","Louisiana","20","      Financial services and insurance",2540,2778,3086,3144,3261
"22000","Louisiana","21","      Other services",2298,2418,2495,2667,2578
"23000","Maine","1","Per capita personal consumption expenditures",41166,43115,44836,46167,45272
"23000","Maine","4","      Motor vehicles and parts",1671,1716,1796,1805,1972
"23000","Maine","5","      Furnishings and durable household equipment",984,1032,1101,1151,1271
"23000","Maine","6","      Recreational goods and vehicles",938,992,1021,1064,1228
"23000","Maine","7","      Other durable goods",529,534,538,550,529
"23000","Maine","9","      Food and beverages purchased for off-premises consumption",3446,3581,3709,3869,4338
"23000","Maine","10","      Clothing and footwear",976,963,970,980,873
"23000","Maine","11","      Gasoline and other energy goods",1220,1422,1625,1582,1132
"23000","Maine","12","      Other nondurable goods",3585,3728,3818,4010,4331
"23000","Maine","15","      Housing and utilities",7333,7718,8006,8220,8537
"23000","Maine","16","      Health care",7704,7950,8095,8302,7851
"23000","Maine","17","      Transportation services",1129,1178,1254,1293,1024
"23000","Maine","18","      Recreation services",1591,1684,1787,1842,1368
"23000","Maine","19","      Food services and accommodations",2774,2951,3104,3251,2501
"23000","Maine","20","      Financial services and insurance",2509,2649,2804,2761,2753
"23000","Maine","21","      Other services",2736,2844,2954,3181,3046
"24000","Maryland","1","Per capita personal consumption expenditures",42527,43779,45345,46382,44331
"24000","Maryland","4","      Motor vehicles and parts",1478,1480,1508,1485,1492
"24000","Maryland","5","      Furnishings and durable household equipment",960,988,1015,1038,1096
"24000","Maryland","6","      Recreational goods and vehicles",1102,1115,1155,1266,1414
"24000","Maryland","7","      Other durable goods",665,673,678,690,648
"24000","Maryland","9","      Food and beverages purchased for off-premises consumption",2753,2806,2844,2871,3150
"24000","Maryland","10","      Clothing and footwear",1204,1217,1228,1227,1065
"24000","Maryland","11","      Gasoline and other energy goods",806,885,1018,949,700
"24000","Maryland","12","      Other nondurable goods",3645,3777,3857,4032,4283
"24000","Maryland","15","      Housing and utilities",8403,8537,8836,9054,9289
"24000","Maryland","16","      Health care",7093,7283,7438,7723,7186
"24000","Maryland","17","      Transportation services",1411,1465,1533,1578,1191
"24000","Maryland","18","      Recreation services",1717,1784,1831,1828,1275
"24000","Maryland","19","      Food services and accommodations",2794,2947,3062,3201,2451
"24000","Maryland","20","      Financial services and insurance",2935,3141,3362,3403,3452
"24000","Maryland","21","      Other services",4180,4245,4417,4582,3877
"25000","Massachusetts","1","Per capita personal consumption expenditures",49505,51110,52969,54763,52001
"25000","Massachusetts","4","      Motor vehicles and parts",1449,1488,1522,1481,1470
"25000","Massachusetts","5","      Furnishings and durable household equipment",1108,1132,1185,1243,1290
"25000","Massachusetts","6","      Recreational goods and vehicles",1324,1358,1417,1518,1680
"25000","Massachusetts","7","      Other durable goods",773,788,803,820,771
"25000","Massachusetts","9","      Food and beverages purchased for off-premises consumption",3461,3618,3672,3774,4108
"25000","Massachusetts","10","      Clothing and footwear",1377,1357,1373,1389,1171
"25000","Massachusetts","11","      Gasoline and other energy goods",720,796,863,813,600
"25000","Massachusetts","12","      Other nondurable goods",3710,3935,4062,4322,4472
"25000","Massachusetts","15","      Housing and utilities",8277,8530,8983,9414,9824
"25000","Massachusetts","16","      Health care",8903,8953,9073,9382,8701
"25000","Massachusetts","17","      Transportation services",2057,2142,2294,2395,1511
"25000","Massachusetts","18","      Recreation services",2174,2313,2399,2481,1717
"25000","Massachusetts","19","      Food services and accommodations",3343,3478,3613,3840,2743
"25000","Massachusetts","20","      Financial services and insurance",4417,4569,4763,4740,4816
"25000","Massachusetts","21","      Other services",4355,4523,4766,4967,4711
"26000","Michigan","1","Per capita personal consumption expenditures",38205,39531,41244,42409,41274
"26000","Michigan","4","      Motor vehicles and parts",1328,1404,1438,1422,1482
"26000","Michigan","5","      Furnishings and durable household equipment",863,909,953,976,1022
"26000","Michigan","6","      Recreational goods and vehicles",1032,1062,1131,1213,1379
"26000","Michigan","7","      Other durable goods",630,636,660,671,635
"26000","Michigan","9","      Food and beverages purchased for off-premises consumption",2883,3027,3100,3187,3532
"26000","Michigan","10","      Clothing and footwear",1002,1006,1032,1044,967
"26000","Michigan","11","      Gasoline and other energy goods",900,1007,1153,1111,788
"26000","Michigan","12","      Other nondurable goods",3089,3222,3336,3495,3668
"26000","Michigan","15","      Housing and utilities",6705,6878,7101,7321,7516
"26000","Michigan","16","      Health care",6622,6718,6959,7212,6651
"26000","Michigan","17","      Transportation services",1034,1058,1112,1170,917
"26000","Michigan","18","      Recreation services",1174,1228,1265,1282,924
"26000","Michigan","19","      Food services and accommodations",2231,2324,2424,2485,1926
"26000","Michigan","20","      Financial services and insurance",3886,4116,4361,4469,4586
"26000","Michigan","21","      Other services",2745,2792,2965,3096,2810
"27000","Minnesota","1","Per capita personal consumption expenditures",41926,43579,45492,46532,44403
"27000","Minnesota","4","      Motor vehicles and parts",1667,1788,1907,1921,1999
"27000","Minnesota","5","      Furnishings and durable household equipment",968,992,1026,1055,1098
"27000","Minnesota","6","      Recreational goods and vehicles",1655,1759,1836,1929,2132
"27000","Minnesota","7","      Other durable goods",589,575,594,589,544
"27000","Minnesota","9","      Food and beverages purchased for off-premises consumption",2756,2793,2868,2897,3145
"27000","Minnesota","10","      Clothing and footwear",1168,1164,1176,1156,1063
"27000","Minnesota","11","      Gasoline and other energy goods",1014,1116,1240,1186,889
"27000","Minnesota","12","      Other nondurable goods",2808,2846,2923,3005,3149
"27000","Minnesota","15","      Housing and utilities",7255,7529,7756,8043,8309
"27000","Minnesota","16","      Health care",7695,7960,8375,8681,8024
"27000","Minnesota","17","      Transportation services",1257,1300,1349,1408,1073
"27000","Minnesota","18","      Recreation services",1497,1577,1632,1629,1071
"27000","Minnesota","19","      Food services and accommodations",2434,2487,2563,2631,1970
"27000","Minnesota","20","      Financial services and insurance",3590,3882,4190,4164,4100
"27000","Minnesota","21","      Other services",3824,3992,4147,4328,3699
"28000","Mississippi","1","Per capita personal consumption expenditures",29904,30586,31775,32413,32358
"28000","Mississippi","4","      Motor vehicles and parts",1418,1431,1483,1466,1617
